10:15:31, 136, -88, 8244, 37, 172, -174 
10:15:31, 40, -52, 8268, 60, 118, -502 
10:15:31, 36, -8, 8196, 58, 61, -837 
10:15:31, 128, -176, 8376, 92, 71, -969 
10:15:31, 288, -168, 8172, 61, 136, -1066 
10:15:31, 612, -92, 8172, 40, 222, -1201 
10:15:31, 740, -300, 8400, 52, 224, -1365 
10:15:31, 708, -360, 8348, 60, 215, -1590 
10:15:31, 632, -260, 8268, 107, 148, -1878 
10:15:31, 392, -372, 8260, 137, 75, -2189 
10:15:31, 308, -284, 8248, 158, 45, -2407 
10:15:31, 164, -108, 8328, 180, 47, -2572 
10:15:31, 128, 112, 8244, 136, 175, -2608 
10:15:31, -12, 468, 8228, 91, 239, -2654 
10:15:31, -48, 360, 8348, 62, 314, -2633 
10:15:31, -128, 128, 8216, 74, 301, -2532 
10:15:31, -24, 104, 8300, 106, 167, -2487 
10:15:31, -84, 64, 8252, 156, 116, -2494 
10:15:31, -52, 48, 8212, 120, 87, -2535 
10:15:31, -192, 20, 8236, 135, 130, -2541 
10:15:31, -44, -152, 8396, 127, 163, -2581 
10:15:31, -116, 188, 8016, 133, 146, -2635 
10:15:31, -44, -32, 8016, 106, 146, -2585 
10:15:31, 496, 244, 8084, 90, 198, -2471 
10:15:31, -192, -132, 8416, 103, 188, -2294 
10:15:31, -240, -248, 8412, 105, 187, -2076 
10:15:31, -112, -244, 8376, 133, 126, -1933 
10:15:31, -40, -380, 8212, 99, 131, -1786 
10:15:31, -152, -572, 8208, 73, 185, -1640 
10:15:31, -276, -564, 8272, 47, 202, -1474 
10:15:31, -400, -628, 8076, 45, 143, -1322 
10:15:31, -472, -668, 8140, 75, 162, -1171 
10:15:31, -468, -444, 8236, 43, 165, -1053 
10:15:31, -720, -544, 8180, 68, 158, -951 
10:15:31, -716, -548, 8244, 42, 130, -879 
10:15:31, -648, -636, 8236, 37, 153, -814 
10:15:31, -756, -672, 8208, 25, 156, -719 
10:15:31, -652, -632, 8140, 43, 156, -591 
10:15:31, -684, -620, 8076, 47, 87, -541 
10:15:31, -528, -500, 8272, 39, 141, -577 
10:15:31, -432, -560, 8300, 85, 157, -645 
10:15:31, -324, -472, 8200, 82, 151, -725 
10:15:31, -644, -360, 8204, 79, 118, -721 
10:15:31, -728, -444, 8280, 48, 137, -687 
10:15:31, -800, -416, 8220, 61, 146, -581 
10:15:31, -744, -572, 8128, 40, 157, -578 
10:15:31, -776, -512, 8236, 29, 144, -575 
10:15:31, -724, -504, 8208, 87, 113, -529 
10:15:31, -784, -464, 8144, 75, 127, -415 
10:15:31, -864, -388, 8156, 56, 112, -278 
10:15:31, -780, -304, 8196, 47, 108, -134 
10:15:31, -960, -204, 8244, 57, 52, 24 
10:15:31, -824, -4, 8204, 52, 78, 33 
10:15:31, -336, -516, 8360, 68, 26, 41 
10:15:31, -220, -444, 8148, 58, 54, 14 
10:15:31, -536, -364, 8168, 54, 82, 54 
10:15:31, -100, -228, 8368, 53, 82, 14 
10:15:31, -52, -152, 8132, 52, 97, 41 
10:15:31, 8, -112, 8156, 2, 165, 30 
10:15:31, -72, -192, 8292, -22, 217, 52 
10:15:31, -224, -304, 8240, 16, 216, 50 
10:15:31, -448, -368, 8244, -15, 156, 52 
10:15:31, -544, -356, 8240, 44, 71, 64 
10:15:31, -500, -344, 8160, 57, 32, 4 
10:15:31, -276, -376, 8304, 71, 14, 38 
10:15:31, -60, -148, 8200, 61, 82, 38 
10:15:31, 120, -68, 8308, 34, 93, 60 
10:15:31, 164, -88, 8368, -8, 210, 37 
10:15:31, 72, -116, 8232, -36, 275, 33 
10:15:31, -420, -392, 8308, -23, 251, 9 
10:15:31, -96, -1008, 8256, 98, 73, -98 
10:15:31, 216, -748, 8148, 85, 1, -247 
10:15:31, -52, -764, 8316, 100, -22, -267 
10:15:31, 32, -476, 8292, 108, 41, -255 
10:15:31, 332, -416, 8204, 85, 83, -344 
10:15:31, 472, -304, 8276, 94, 84, -493 
10:15:31, 312, -232, 8232, 70, 99, -674 
10:15:31, 224, -160, 8208, 86, 121, -933 
10:15:31, 324, -348, 8284, 97, 90, -1178 
10:15:31, 612, -436, 8248, 95, 106, -1388 
10:15:32, 920, -556, 8144, 113, 75, -1489 
10:15:32, 1112, -596, 8228, 142, 40, -1474 
10:15:32, 1104, -548, 8368, 168, 41, -1388 
10:15:32, 936, -336, 8648, 180, -46, -1355 
10:15:32, 948, -296, 8680, 149, -202, -1386 
10:15:32, 1072, -532, 8648, 59, -444, -1436 
10:15:32, 1056, -780, 8800, -1, -687, -1494 
10:15:32, 868, -932, 8828, -155, -950, -1414 
10:15:32, 856, -852, 8836, -337, -1271, -1241 
10:15:32, 708, -544, 9056, -550, -1563, -1022 
10:15:32, 656, -224, 9192, -802, -1834, -737 
10:15:32, 668, -36, 9392, -1090, -2115, -473 
10:15:32, 1032, -236, 9328, -1363, -2306, -231 
10:15:32, 1360, -516, 9232, -1642, -2419, 36 
10:15:32, 1432, -780, 8984, -1904, -2355, 331 
10:15:32, 1388, -1060, 9184, -2066, -2243, 476 
10:15:32, 1508, -1068, 9196, -2130, -2023, 743 
10:15:32, 1768, -1004, 9252, -1956, -1770, 1000 
10:15:32, 2032, -1172, 9492, -1629, -1435, 1134 
10:15:32, 2064, -1016, 9508, -1313, -1089, 1234 
10:15:32, 2208, -1148, 9188, -938, -813, 1283 
10:15:32, 2076, -1136, 9172, -683, -562, 1120 
10:15:32, 1624, -1276, 9224, -550, -290, 890 
10:15:32, 1500, -1348, 9160, -400, 102, 580 
10:15:32, 1512, -1472, 9196, -273, 541, 165 
10:15:32, 1624, -1600, 9328, -132, 886, -319 
10:15:32, 1764, -1592, 9336, 101, 1221, -640 
10:15:32, 1976, -1420, 9228, 331, 1521, -775 
10:15:32, 1900, -1000, 9024, 552, 1710, -817 
